Date_Time,Latitude,Longitude,MWS (Knot),MSLP (hPa)
2021-09-03 18:00:00,14.700000000000001,-41.400000000000006,61,977
2021-09-04 00:00:00,15.200000000000001,-42.6,75,976
2021-09-04 06:00:00,15.700000000000001,-43.900000000000006,70,976
2021-09-04 12:00:00,16.2,-45.2,67,978
2021-09-04 18:00:00,16.900000000000002,-46.400000000000006,68,974
2021-09-05 00:00:00,17.900000000000002,-47.400000000000006,73,976
2021-09-05 06:00:00,18.7,-48.5,81,972
2021-09-05 12:00:00,19.400000000000002,-49.7,82,972
2021-09-05 18:00:00,20.1,-50.800000000000004,82,971
2021-09-06 00:00:00,20.8,-51.7,86,969
2021-09-06 06:00:00,21.200000000000003,-52.7,86,967
2021-09-06 12:00:00,21.6,-53.5,86,968
2021-09-06 18:00:00,22.1,-54.2,87,964
2021-09-07 00:00:00,22.700000000000003,-54.800000000000004,97,962
